Année,Cause,Data qualifier,Juridiction,Jurisdiction,Niveau d'intervention,Number,Origine,Protection zone,Response category,Year,Zone de protection
1990,Forest industry,a,Alberta,Alberta,Normale,22,Industrie forestiere,Intensive,Full,1990,Intensive
1991,Forest industry,a,Alberta,Alberta,Normale,14,Industrie forestiere,Intensive,Full,1991,Intensive
1992,Forest industry,a,Alberta,Alberta,Normale,12,Industrie forestiere,Intensive,Full,1992,Intensive
1993,Forest industry,a,Alberta,Alberta,Normale,11,Industrie forestiere,Intensive,Full,1993,Intensive
1994,Forest industry,a,Alberta,Alberta,Normale,13,Industrie forestiere,Intensive,Full,1994,Intensive
1995,Forest industry,a,Alberta,Alberta,Normale,14,Industrie forestiere,Intensive,Full,1995,Intensive
1996,Forest industry,a,Alberta,Alberta,Normale,8,Industrie forestiere,Intensive,Full,1996,Intensive
1997,Forest industry,a,Alberta,Alberta,Normale,29,Industrie forestiere,Intensive,Full,1997,Intensive
1998,Forest industry,a,Alberta,Alberta,Normale,10,Industrie forestiere,Intensive,Full,1998,Intensive
1999,Forest industry,a,Alberta,Alberta,Normale,20,Industrie forestiere,Intensive,Full,1999,Intensive
2000,Forest industry,a,Alberta,Alberta,Normale,10,Industrie forestiere,Intensive,Full,2000,Intensive
2001,Forest industry,a,Alberta,Alberta,Normale,11,Industrie forestiere,Intensive,Full,2001,Intensive
2002,Forest industry,a,Alberta,Alberta,Normale,11,Industrie forestiere,Intensive,Full,2002,Intensive
2003,Forest industry,a,Alberta,Alberta,Normale,18,Industrie forestiere,Intensive,Full,2003,Intensive
2004,Forest industry,a,Alberta,Alberta,Normale,22,Industrie forestiere,Intensive,Full,2004,Intensive
2005,Forest industry,a,Alberta,Alberta,Normale,22,Industrie forestiere,Intensive,Full,2005,Intensive
2006,Forest industry,a,Alberta,Alberta,Normale,26,Industrie forestiere,Intensive,Full,2006,Intensive
2007,Forest industry,a,Alberta,Alberta,Normale,19,Industrie forestiere,Intensive,Full,2007,Intensive
2008,Forest industry,a,Alberta,Alberta,Normale,41,Industrie forestiere,Intensive,Full,2008,Intensive
2009,Forest industry,a,Alberta,Alberta,Normale,48,Industrie forestiere,Intensive,Full,2009,Intensive
2010,Forest industry,a,Alberta,Alberta,Normale,22,Industrie forestiere,Intensive,Full,2010,Intensive
2011,Forest industry,a,Alberta,Alberta,Normale,30,Industrie forestiere,Intensive,Full,2011,Intensive
2012,Forest industry,a,Alberta,Alberta,Normale,15,Industrie forestiere,Intensive,Full,2012,Intensive
2013,Forest industry,r,Alberta,Alberta,Normale,20,Industrie forestiere,Intensive,Full,2013,Intensive
2014,Forest industry,a,Alberta,Alberta,Normale,23,Industrie forestiere,Intensive,Full,2014,Intensive
2015,Forest industry,a,Alberta,Alberta,Normale,41,Industrie forestiere,Intensive,Full,2015,Intensive
2016,Forest industry,a,Alberta,Alberta,Normale,32,Industrie forestiere,Intensive,Full,2016,Intensive
2017,Forest industry,p,Alberta,Alberta,Normale,15,Industrie forestiere,Intensive,Full,2017,Intensive
1990,Forest industry,a,Colombie-Britannique,British Columbia,Normale,185,Industrie forestiere,Intensive,Full,1990,Intensive
1991,Forest industry,a,Colombie-Britannique,British Columbia,Normale,143,Industrie forestiere,Intensive,Full,1991,Intensive
1992,Forest industry,a,Colombie-Britannique,British Columbia,Normale,152,Industrie forestiere,Intensive,Full,1992,Intensive
1993,Forest industry,a,Colombie-Britannique,British Columbia,Normale,149,Industrie forestiere,Intensive,Full,1993,Intensive
1994,Forest industry,a,Colombie-Britannique,British Columbia,Normale,113,Industrie forestiere,Intensive,Full,1994,Intensive
1995,Forest industry,a,Colombie-Britannique,British Columbia,Normale,134,Industrie forestiere,Intensive,Full,1995,Intensive
